dataelement,period,orgunit,categoryoptioncombo,attributeoptioncombo,value,storedby,lastupdated,comment,followup,deleted
hh_1b1_HospOrComm,2024S1,LAB02_Laboratory Name 2,HllvX50cXC0,HllvX50cXC0,NA,user2,2024-07-23T09:09:52.569+0000,,FALSE,null
hh_1b2_dataformat,2024S1,LAB02_Laboratory Name 2,HllvX50cXC0,HllvX50cXC0,Other (please describe briefly),user2,2024-07-23T09:18:26.930+0000,,FALSE,null
hh_1c1_clininvest,2024S1,LAB02_Laboratory Name 2,HllvX50cXC0,HllvX50cXC0,Other (please describe briefly),user2,2024-07-23T09:18:56.323+0000,,FALSE,null
hh_3c5swab_planComment,2024S1,LAB02_Laboratory Name 2,HllvX50cXC0,HllvX50cXC0,No change is required,user2,2024-07-23T09:53:22.254+0000,,FALSE,null
hh_1b1_uniqueid_planQuarter,2024S1,LAB04_Laboratory Name 4,HllvX50cXC0,HllvX50cXC0,2024Q3,user2,2024-07-08T12:55:11.866+0000,,FALSE,null
hh_1b1_gender,2024S1,LAB04_Laboratory Name 4,HllvX50cXC0,HllvX50cXC0,Yes,user2,2024-07-08T12:55:42.182+0000,,FALSE,null
hh_1d1_microbiology_result,2024S1,LAB04_Laboratory Name 4,HllvX50cXC0,HllvX50cXC0,Results are reported to clinicians on paper forms or logbooks,user2,2024-07-08T13:26:07.522+0000,,FALSE,null
hh_1e1_training_plan,2024S1,LAB04_Laboratory Name 4,HllvX50cXC0,HllvX50cXC0,Action to change (Please specify),user2,2024-07-08T13:29:54.090+0000,,FALSE,null
ah_6c1_isolateStorage,2024S1,LAB06_Laboratory Name 6,HllvX50cXC0,HllvX50cXC0,TRUE,user3,2024-07-10T09:14:16.356+0000,,FALSE,null
hh_2a7_participates_pts,2024S1,LAB02_Laboratory Name 2,HllvX50cXC0,HllvX50cXC0,Yes,user2,2024-07-09T07:26:53.585+0000,,FALSE,null
hh_1b1_age,2024S1,LAB04_Laboratory Name 4,HllvX50cXC0,HllvX50cXC0,Yes,user2,2024-07-08T12:56:15.420+0000,,FALSE,null
hh_1b1_age_plan,2024S1,LAB04_Laboratory Name 4,HllvX50cXC0,HllvX50cXC0,No change from current status,user2,2024-07-08T12:56:19.871+0000,,FALSE,null
